Título;Autor;Año;Género;Idioma original;Sinopsis
El Señor de los Anillos;J.R.R. Tolkien;1955;Alta Fantasía;Inglés;Un hobbit llamado Frodo debe destruir un anillo poderoso que podría caer en manos malvadas.
Las Crónicas de Narnia;C.S. Lewis;1954;Fantasía cristiana;Inglés;Un grupo de niños viajan a Narnia, un mundo mágico poblado por criaturas fantásticas y gobernado por un león.
Harry Potter y la piedra filosofal;J.K. Rowling;1997;Fantasía juvenil;Inglés;Harry descubre que es un mago y comienza su educación en la escuela de magia y hechicería Hogwarts.
El Nombre del Viento;Patrick Rothfuss;2007;Fantasía épica;Inglés;La historia de Kvothe, un músico y mago que busca la verdad detrás de una antigua leyenda.
American Gods;Neil Gaiman;2001;Fantasía contemporánea;Inglés;Un ex convicto llamado Shadow se involucra en una guerra entre los dioses antiguos y los nuevos.
La Rueda del Tiempo;Robert Jordan;1990;Fantasía épica;Inglés;Una profecía antigua habla del surgimiento de un salvador que derrotará al malvado Señor del Oscuro.
El Color de la Magia;Terry Pratchett;1983;Fantasía humorística;Inglés;La historia del turista ingenuo Dosflores y el mago cascarrabias Rincewind mientras recorren un mundo plano y absurdo.
La Torre Oscura;Stephen King;1982;Fantasía oscura;Inglés;Un pistolero llamado Roland Deschain busca la Torre Oscura, un punto de convergencia de múltiples universos.
La Saga de Geralt de Rivia;Andrzej Sapkowski;1992;Fantasía oscura;Polaco;La historia del cazador de monstruos Geralt de Rivia y sus aventuras en un mundo de magia y peligros.
El Ciclo de la Puerta de la Muerte;Margaret Weis y Tracy Hickman;1984;Fantasía épica;Inglés;La historia de Haplo, un explorador en un mundo de fantasía con dos razas enfrentadas.
Elantris;Brandon Sanderson;2005;Fantasía épica;Inglés;La historia de un reino mágico y su ciudad capital, Elantris, que cae en desgracia.
La Espada de Shannara;Terry Brooks;1977;Fantasía épica;Inglés;Tres héroes deben recuperar la espada mágica Shannara
